aleg	un		soare	alegun	un	soare	None	
moartea	unor	din	marea	moarteaunor	unordin	dinmarea	None	
plaja	vreun	mort		plajavreun	vreunmort	mort	None	
mare	de	si	marsuini	marede	desi	simarsuini	None	
fost	dresati	in	scopuri	fostdresati	dresatiin	inscopuri	None	
	doi	albi	au	doi	doialbi	albiau	None	
cei	doi	albi	-	ceidoi	doialbi	albi-	None	
unul	dintre	a	fost	unuldintre	dintrea	afost	None	
10.000	de	in	marea	10.000de	dein	inmarea	None	
10.000	de	eugenia	mircescu	10.000de	deeugenia	eugeniamircescu	None	
10.000	de	in	1950	10.000de	dein	in1950	None	
milion	de		iar	milionde	de	iar	None	
balene			dar	balene		dar	None	
rechini			broaste	rechini		broaste	None	
a	doi	cite	un	adoi	doicite	citeun	None	
puii	de	dezvolta	aceasta	puiide	dedezvolta	dezvoltaaceasta	None	
dresori	de		toti	dresoride	de	toti	None	
tatuat	un	pentru	ca	tatuatun	unpentru	pentruca	None	
tatuat	un	in	urma	tatuatun	unin	inurma	None	
-	un	dragalasgiovanni		-un	undragalasgiovanni	dragalasgiovanni	None	
bratara	cu		material	brataracu	cu	material	None	
100	de	morti	in	100de	demorti	mortiin	None	
100	de	morti	in	100de	demorti	mortiin	None	
doar	12	au	putut	doar12	12au	auputut	None	
suta	de		trei	sutade	de	trei	None	
doar	12	si	20	doar12	12si	si20	None	
	multi	si	calcani	multi	multisi	sicalcani	None	
.		si	rechini	.	si	sirechini	None	
si	sapte		o	sisapte	sapte	o	None	
zeci	de	gasiti	morti	zecide	degasiti	gasitimorti	None	
zeci	de	gasiti	morti	zecide	degasiti	gasitimorti	None	
considerabile	de		rechini	considerabilede	de	rechini	None	
online	.	morti	la	online.	.morti	mortila	None	
si	navodari	morti	la	sinavodari	navodarimorti	mortila	None	
cadavre	de		in	cadavrede	de	in	None	
trei		de	felul	trei	de	defelul	None	
teama	de	care	se	teamade	decare	carese	None	
romanesti	au		dar	romanestiau	au	dar	None	
a	folosi	pentru	operatiunile	afolosi	folosipentru	pentruoperatiunile	None	
